9999	Dungeonhelden
8999	Veliks Zuflucht
9001	Samaels Sitz
9002	Brunnen von Shara
9003	Fyrkuppenabgrund
9005	Villa des Narren
9006	Labyrinth des Schreckens
9007	Verborgener Schrein
9008	Malachais Labor
9010	Kommandozentrum von Kaiator
9011	Muhraks Werkstätte
9012	Turmspitzen der drei Türme
9013	Cyasmaspitze
9014	Khanovarposten
9016	Klippen der Insel der Dämmerung
9017	Leuchtturm der Sonne
9018	Argonenkatakomben
9019	Vorhof des Sanctum Mysterium
9020	Kultistenwaffenkammer
9021	Verborgener Tunnel
9022	Gewölbe des Ruhms
9023	Kutmaschuks Versteck
9024	Tempel von Kaprima
9025	Balders Tempel
9028	Malachais Labor
9031	Akashas Versteck (Prüfung)
9032	Goldenes Labyrinth (Prüfung)
9033	Der Abszess (schwierig) (Einzelspieler)
9036	Karaschas Unterschlupf
9037	Brücke über den Verdorbenen Schlund
9038	Geheimnisvoller Dschungel
9039	Ort des Karawanenüberfalls
9040	Platz von Velika
9041	Osttor von Velika
9042	Hauptquartier von Velika
9046	Verfluchte Oase
9050	Rand des Abgrunds (schwierig) (10 Spieler)
9750	Rand des Abgrunds (10 Spieler)
9061	Riesenruine
9062	Villa des Narren
9063	Rabenaltar
9064	Schmelzkammer
9065	Zwielichttal
9071	Nekromantenkrypta
9072	Goldenes Labyrinth
9073	Ebenholzturm
9074	Heiligtum der Wiederbelebung
9075	Kelsaiks Nest
9076	Labyrinth des Schreckens
9077	Wüste Batu
9078	Suryatis Gipfel
9079	Aufstieg von Saravash
9080	Siegel von Adstringo
9081	Ausbildungsgelände
9082	Tempel der Verwegenheit
9083	Gelände des Durchbruchs
9087	Bastion Loks
9088	Anwesen der Arglist
9089	Zuflucht der Kultisten
9090	Waldlandpfad
9091	Altar von Vadoma
9092	Dagons Kantorei
9093	Akashas Versteck
9094	Salerons Himmelsgarten
9096	Terrassen von Sirjuka
9724	Tempel von Kaprima (schwierig)
9725	Balders Tempel (schwierig)
9793	Akashas Versteck (schwierig)
9773	Ebenholzturm (schwierig)
9775	Kelsaiks Nest (schwierig)
9776	Labyrinth des Schreckens (schwierig)
9801	Nexustraverse
9802	Nexustraverse
9803	Nexustraverse
9026	Argonenkorpus
