# id	shortName	maxBaseRuns ilvl    eliteDouble idx resetFreq
9713	GG	1	0	true	0   Daily
9126	PP	3	439	false	1   Weekly
9777	CW	2	412	true	2   Weekly
9055	RG	2	412	true	3   Weekly
9511	AB	2	412	true	4   Weekly
9860	KC	2	412	true	5   Weekly
9794	TR	2	431	true	7   Weekly
9780	VH	2	431	true	8   Weekly
9769	LK	2	431	true	9   Weekly
9760	KD	2	431	true	10  Weekly
9739	RR	1	439	true	11  Weekly
9994	TRH	1	439	true	12  Weekly
9969	LKH	1	439	true	13  Weekly
9770	RM	1	439	true	14  Weekly
9735	RK	1	439	true	15  Weekly
9716	SC	1	439	true	16  Weekly
9710	BP	1	439	true	17  Weekly
9970	RMH	1	446	true	18  Weekly
9939	RRH	1	446	true	19  Weekly
9935	RKH	1	446	true	20  Weekly
9783	DRC	1	446	true	21  Weekly
9720	AA	1	446	true	22  Weekly
9983	DRCH	1	453	true	23  Weekly
9920	AAH	1	453	true	24  Weekly
9782	GLN	1	453	true	25  Weekly
9982	GLH	1	455	true	26  Weekly
9044	BS	1	456	true	27  Weekly
