1	Power	0.00	0.00	perc	100000	0	0.10	더미_이상상태			유명한 무법자가 되었습니다. 휴식의 신관, 휴식의 신장, 사냥터 이동 관리인, 페가수스 이동 메뉴를 사용 할 수 없습니다. 사망 시 크리스탈 파괴 판정 횟수가 증가합니다. 컨디션 감소량이 증가합니다. 힘이 90% 감소되며 맷집이 unk2 감소됩니다 또한 이동속도가 unk3 감소됩니다. 악명이 0일때 비 전투 상태를 60초 동안 유지하면 유명한 무법자 상태가 해제됩니다.	icon_skills.voidtrap_tex
2	Power	0.00	0.00	perc	180000000	0	100.00	테스트용_후덜덜	149004	[이벤트] 강력한 권능의 포션	공격력 100배 / 방어력 100배 효과! 5시간 지속! 일반 게임 플레이 시 이 툴팁이 보이면 BTS 처리 필요!	icon_skills.voidtrap_tex
2	Endurance	0.00	0.00	perc	180000000	0	100.00	테스트용_후덜덜	149004	[이벤트] 강력한 권능의 포션	공격력 100배 / 방어력 100배 효과! 5시간 지속! 일반 게임 플레이 시 이 툴팁이 보이면 BTS 처리 필요!	icon_skills.voidtrap_tex
22	Attack	0.00	0.00	perc	1200000	0	1.40	테스트_스킬데미지증가			테스트 전용! 모든 스킬 데미지 40% 증가!	icon_skills.voidtrap_tex
23	CritChance	0.00	0.00	abs	60000	0	1.00	자신 치명타 100%			자신의 공격이 100% 치명타가 된다.  테스트 전용	
25	MPChange	0.00	0.50	perc	0	1	0.50	T.E.R.A TIME			미칠 듯한 스킬 난사의 짜릿함을 느껴 보세요! 연맹 스킬을 제외한 모든 스킬의 재사용 시간이 80% 감소하고, 초당 마나 회복량이 크게 증가합니다.	icon_status.pluswill_tex
25	CDR	0.00	0.00	perc	0	0	0.20	T.E.R.A TIME			미칠 듯한 스킬 난사의 짜릿함을 느껴 보세요! 연맹 스킬을 제외한 모든 스킬의 재사용 시간이 80% 감소하고, 초당 마나 회복량이 크게 증가합니다.	icon_status.pluswill_tex
26	MPChange	0.00	0.50	perc	0	1	0.50	T.E.R.A TIME			미칠 듯한 스킬 난사의 짜릿함을 느껴 보세요! 연맹 스킬을 제외한 모든 스킬의 재사용 시간이 80% 감소하고, 초당 마나 회복량이 크게 증가합니다.	icon_status.pluswill_tex
26	CDR	0.00	0.00	perc	0	0	0.20	T.E.R.A TIME			미칠 듯한 스킬 난사의 짜릿함을 느껴 보세요! 연맹 스킬을 제외한 모든 스킬의 재사용 시간이 80% 감소하고, 초당 마나 회복량이 크게 증가합니다.	icon_status.pluswill_tex
27	MPChange	0.00	0.50	perc	0	1	0.50	T.E.R.A TIME			미칠 듯한 스킬 난사의 짜릿함을 느껴 보세요! 연맹 스킬을 제외한 모든 스킬의 재사용 시간이 80% 감소하고, 초당 마나 회복량이 크게 증가합니다.	icon_status.pluswill_tex
