1	Power	Debuff	False	perc	100000	0	0.1	Чистая совесть			Снижает силу и атаку на 90%.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
2	Power	Buff	True	perc	180000000	0	100	Промо-эффект BAM			Увеличивает удивительность в сражениях с BAM.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
2	Endurance	Buff	True	perc	180000000	0	100	Промо-эффект BAM			Увеличивает удивительность в сражениях с BAM.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
4	Stun	Buff	True	swch	3600000	0	4	Оглушающая бомба	7215	Оглушающая бомба	Эффект оглушения.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
5	Drunk1	Debuff	True	seta	100000	0	0	Снятие эффектов			Снятие эффектов.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
6	Immune	Debuff	True	seta	100000	0	0	Полная неуязвимость к урону			Полная неуязвимость к урону.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
7	Stun	Debuff	True	seta	100000	0	5	Неуязвимость к половине урона			Неуязвимость к половине урона.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
7	Immune	Debuff	True	abs	100000	0	0	Неуязвимость к половине урона			Неуязвимость к половине урона.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
8	Immune	Debuff	True	setp	100000	0	0	Снятие полной неуязвимости			Снятие полной неуязвимости.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
9	Immune	Debuff	True	8	100000	0	0	Снятие неуязвимости к половине урона			Снятие неуязвимости к половине урона.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
10	Immune	Debuff	True	16	100000	0	0	Полная неуязвимость к воздействиям			Полная неуязвимость к воздействиям.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
10	StatusImmune	Debuff	True	swch	100000	0	0	Полная неуязвимость к воздействиям			Полная неуязвимость к воздействиям.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
11	Immune	Debuff	True	26	60000	0	0	Каменная кожа			Камень	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex
11	StunKnockDown	Debuff	True	seta	60000	0	6	Каменная кожа			Камень	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex
