60340120	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400015	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400060	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400080	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400100	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400120	Common	Common	Common	Infusion au noctenium (off)			icon_items.union_supplies5_tex
320100	Common	Common	Sorcerer	Chute de météores!	False	MB	icon_skills.hellfire_tex
71121	Common	Common	Gunner	Barrage arcanique!	False	Boom	icon_skills.arcaneshockshot01_tex
71122	Common	Common	Gunner	Barrage arcanique!	False	Boom	icon_skills.arcaneshockshot01_tex
410131	Common	Common	Warrior	Entaille verticale!	False	hit 2	icon_skills.tumblingattack_tex
