300100	Axe counter?		
101100	Cyclone XI	level 0	
101101	Cyclone XI	level 1	
101102	Cyclone XI	level 2	
101103	Cyclone XI	level max	
110800	Leaping Strike VIII		
11200	Combo Attack XII	1st hit	
11201	Combo Attack XII	2nd hit	
11202	Combo Attack XII	3rd hit	
11203	Combo Attack XII	4th hit	
120830	Unchained Anger VIII		
131000	Retaliate X		
150910	Vampiric Blow IX	level 0	false
150911	Vampiric Blow IX 	level 1	false
150912	Vampiric Blow IX 	level 3	false
150913	Vampiric Blow IX	level max	false
150914	Vampiric Blow IX 	chained	true
160400	Fearsome Shout IV		
170200	Flurry of Blows II		
180610	Lethal Strike VI	level 0	
180611	Lethal Strive VI	level 1	
180612	Lethal Strike VI	level 3	
180613	Lethal Strive VI	level max	
190300	Tenacity III		
200200	Inescapable Doom II		
210200	Bloodlust II		
240210	Evasive Smash II	level 0	
240211	Evasive Smash II	level 1	
240212	Evasive Smash II	level 2	
240213	Evasive Smash II	level max	
250101	Raze	tank	false
250131	Raze	tank	true
250100	Raze	dps	false
250130	Raze	dps	true
260120	Tackle		
270100	Unbreakable		
300130	Axe counter		
310101	Overwhelm		
31010	Thunder Strike X	level 0	
31011	Thunder Strike X	level 1	
31012	Thunder Strike X	level 2	
31013	Thunder Strike X	level max	
320100	Punishing Strike	1st hit	
320101	Punishing Strike	2nd hit	
41100	Flatten XI	dps	false
41101	Flatten XI	tank	false
41130	Flatten XI	dps	true
41131	Flatten XI	tank	true
60500	Staggering Strike V		
60530	Staggering Strike V		
70100	Mocking Shout		
80500	Fiery Rage V		
90200	Triumphant Shout II		
